m,coco,coco_pct
11,7.0,0.0
6,4.0,0.0
10,8.0,0.0
6,5.0,0.008
6,8.0,0.0
4,7.0,0.0
3,4.0,0.001
1,7.0,0.0
5,4.0,0.002
4,5.0,0.058
4,27.0,0.0
8,2.0,0.024
8,8.0,0.0
4,1.0,0.86
12,3.0,0.002
9,8.0,0.0
9,7.0,0.0
11,25.0,0.0
2,5.0,0.034
10,7.0,0.0
1,8.0,0.001
8,7.0,0.0
2,2.0,0.115
6,25.0,0.0
5,18.0,0.0
1,1.0,0.798
3,8.0,0.0
8,25.0,0.0
10,25.0,0.0
12,1.0,0.835
3,25.0,0.0
3,1.0,0.861
12,27.0,0.0
6,27.0,0.0
11,3.0,0.001
3,5.0,0.038
11,4.0,0.0
11,1.0,0.895
10,1.0,0.921
9,25.0,0.001
6,2.0,0.024
6,18.0,0.0
10,2.0,0.058
8,18.0,0.0
11,8.0,0.0
12,7.0,0.0
6,1.0,0.967
3,3.0,0.011
7,4.0,0.0
5,7.0,0.0
9,18.0,0.0
8,5.0,0.003
2,8.0,0.0
12,25.0,0.0
4,2.0,0.071
11,27.0,0.0
5,27.0,0.001
9,27.0,0.0
7,27.0,0.0
8,4.0,0.0
9,4.0,0.0
2,25.0,0.0
4,3.0,0.01
7,7.0,0.0
11,2.0,0.09
12,8.0,0.0
9,1.0,0.958
12,2.0,0.127
10,18.0,0.0
2,4.0,0.001
3,7.0,0.0
1,27.0,0.0
5,8.0,0.0
9,3.0,0.0
5,1.0,0.882
4,25.0,0.0
2,18.0,0.0
4,8.0,0.0
6,3.0,0.0
11,5.0,0.014
6,7.0,0.0
10,4.0,0.0
9,5.0,0.007
3,2.0,0.086
7,1.0,0.986
11,18.0,0.0
4,4.0,0.0
10,3.0,0.006
5,25.0,0.001
10,5.0,0.016
1,4.0,0.001
5,2.0,0.073
2,3.0,0.014
7,2.0,0.013
3,27.0,0.003
12,4.0,0.0
7,25.0,0.0
5,3.0,0.008
8,3.0,0.001
9,2.0,0.035
1,3.0,0.006
2,7.0,0.0
7,18.0,0.0
12,18.0,0.0
1,2.0,0.14
1,25.0,0.0
1,5.0,0.053
7,8.0,0.0
7,5.0,0.001
1,18.0,0.0
2,27.0,0.0
7,3.0,0.0
10,27.0,0.0
8,1.0,0.973
4,18.0,0.0
3,18.0,0.0
12,5.0,0.037
2,1.0,0.836
5,5.0,0.033
8,27.0,0.0
