m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,25.0,28.2,31.4,9.4,30.0,0.98,239.0
2,25.0,27.9,31.1,8.2,29.0,0.99,270.0
3,25.1,28.3,31.7,7.6,30.0,0.97,192.0
4,25.7,29.0,32.8,6.4,29.0,0.96,174.0
5,26.3,29.7,33.4,6.4,31.0,0.99,113.0
6,25.6,29.2,32.9,6.6,28.0,0.92,134.0
7,25.2,28.9,32.7,7.3,21.0,0.67,50.0
8,25.5,29.0,32.8,7.5,22.0,0.7,33.0
9,25.7,29.3,33.0,7.3,22.0,0.73,83.0
10,26.1,29.5,33.2,6.8,28.0,0.9,93.0
11,25.7,28.9,32.8,6.6,29.0,0.96,204.0
12,25.4,28.4,32.0,8.5,30.0,0.95,253.0
