m,coco,coco_pct
2,27.0,0.0
11,5.0,0.026
10,12.0,0.0
6,9.0,0.001
4,10.0,0.0
3,2.0,0.318
6,4.0,0.035
2,3.0,0.22
3,13.0,0.0
4,25.0,0.003
10,18.0,0.0
2,7.0,0.048
8,27.0,0.0
6,5.0,0.0
9,7.0,0.023
11,14.0,0.0
6,17.0,0.003
12,13.0,0.0
11,25.0,0.003
10,7.0,0.035
2,10.0,0.0
9,5.0,0.001
4,2.0,0.338
12,3.0,0.225
12,5.0,0.072
1,17.0,0.0
4,15.0,0.0
9,12.0,0.0
7,18.0,0.0
4,13.0,0.0
1,2.0,0.257
6,27.0,0.0
9,23.0,0.001
1,8.0,0.021
2,9.0,0.0
3,4.0,0.134
8,17.0,0.001
9,8.0,0.016
10,13.0,0.0
4,26.0,0.0
10,9.0,0.003
7,10.0,0.0
5,1.0,0.135
11,4.0,0.198
6,18.0,0.002
5,13.0,0.0
6,7.0,0.022
10,15.0,0.0
4,4.0,0.13
3,10.0,0.0
5,10.0,0.0
1,12.0,0.002
8,8.0,0.006
12,23.0,0.0
2,2.0,0.28
11,12.0,0.0
5,4.0,0.114
2,25.0,0.0
11,17.0,0.0
10,2.0,0.364
12,12.0,0.0
2,14.0,0.009
4,3.0,0.226
7,27.0,0.0
4,12.0,0.0
11,7.0,0.06
3,25.0,0.001
8,7.0,0.015
1,1.0,0.229
3,14.0,0.0
2,1.0,0.233
11,27.0,0.0
1,27.0,0.0
3,15.0,0.0
7,17.0,0.001
11,8.0,0.014
9,10.0,0.0
3,9.0,0.0
1,13.0,0.0
10,8.0,0.01
9,26.0,0.0
8,12.0,0.0
6,26.0,0.0
1,25.0,0.0
3,17.0,0.0
2,12.0,0.0
10,1.0,0.306
11,1.0,0.143
6,15.0,0.0
2,8.0,0.006
6,12.0,0.0
10,27.0,0.0
5,14.0,0.0
7,12.0,0.0
4,18.0,0.0
1,15.0,0.002
4,16.0,0.0
6,3.0,0.219
7,3.0,0.075
3,1.0,0.208
2,13.0,0.0
6,23.0,0.004
6,16.0,0.0
4,7.0,0.076
1,23.0,0.0
8,15.0,0.0
12,7.0,0.077
12,10.0,0.0
9,18.0,0.003
12,25.0,0.0
1,14.0,0.007
5,16.0,0.0
8,9.0,0.001
11,15.0,0.0
12,14.0,0.0
7,13.0,0.0
5,26.0,0.0
5,12.0,0.0
2,23.0,0.0
4,1.0,0.2
8,13.0,0.0
11,2.0,0.277
7,1.0,0.483
2,15.0,0.003
3,27.0,0.0
2,18.0,0.0
4,5.0,0.006
12,2.0,0.239
8,14.0,0.0
8,23.0,0.003
11,10.0,0.0
6,1.0,0.228
4,14.0,0.0
7,7.0,0.017
10,5.0,0.008
10,10.0,0.0
12,4.0,0.204
7,14.0,0.0
6,10.0,0.0
12,8.0,0.027
3,23.0,0.0
5,9.0,0.001
9,13.0,0.0
5,3.0,0.285
5,15.0,0.0
1,18.0,0.001
3,26.0,0.0
7,25.0,0.008
2,4.0,0.175
7,2.0,0.397
11,9.0,0.003
4,23.0,0.001
10,3.0,0.194
1,4.0,0.151
6,25.0,0.013
4,9.0,0.001
11,23.0,0.0
5,2.0,0.402
9,2.0,0.417
8,25.0,0.01
5,5.0,0.001
2,16.0,0.001
3,3.0,0.215
9,4.0,0.058
5,27.0,0.0
8,3.0,0.107
9,14.0,0.0
1,3.0,0.216
7,9.0,0.003
5,17.0,0.001
10,14.0,0.0
10,25.0,0.001
3,7.0,0.096
1,9.0,0.0
11,3.0,0.276
12,18.0,0.0
7,16.0,0.0
9,1.0,0.33
8,10.0,0.0
7,23.0,0.003
11,18.0,0.0
7,4.0,0.008
2,17.0,0.0
3,5.0,0.01
8,18.0,0.002
8,4.0,0.007
4,27.0,0.0
5,25.0,0.009
10,23.0,0.001
5,8.0,0.006
9,27.0,0.0
6,13.0,0.0
12,9.0,0.003
10,4.0,0.079
10,17.0,0.0
7,5.0,0.0
1,10.0,0.002
9,17.0,0.002
5,7.0,0.042
3,8.0,0.019
7,26.0,0.0
12,15.0,0.0
8,16.0,0.0
1,16.0,0.001
12,27.0,0.0
12,26.0,0.001
11,13.0,0.0
10,16.0,0.0
3,18.0,0.0
9,3.0,0.141
2,5.0,0.026
9,16.0,0.0
12,17.0,0.0
11,26.0,0.0
6,8.0,0.007
9,9.0,0.004
4,8.0,0.02
8,5.0,0.0
2,26.0,0.0
3,12.0,0.0
1,26.0,0.0
6,14.0,0.0
7,8.0,0.005
8,1.0,0.407
12,16.0,0.0
4,17.0,0.0
5,18.0,0.001
1,7.0,0.064
9,25.0,0.006
7,15.0,0.0
12,1.0,0.15
9,15.0,0.0
3,16.0,0.0
10,26.0,0.0
5,23.0,0.002
11,16.0,0.0
1,5.0,0.046
8,2.0,0.442
8,26.0,0.001
6,2.0,0.466
