m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,10.2,11.8,13.5,22.7,16.0,0.5,69.0
2,11.6,13.1,14.6,21.7,13.0,0.46,23.0
3,11.3,12.5,14.2,18.4,16.0,0.51,44.0
4,13.9,15.5,18.3,15.0,10.0,0.32,12.0
5,16.5,19.0,22.0,11.6,8.0,0.27,4.0
6,22.0,24.2,27.0,10.4,5.0,0.16,5.0
7,25.6,28.3,31.0,10.3,3.0,0.09,0.0
8,25.5,28.0,30.3,11.3,7.0,0.21,2.0
9,21.5,23.9,26.0,11.8,11.0,0.36,25.0
10,17.8,19.7,21.5,16.2,10.0,0.33,20.0
11,14.7,16.1,17.6,19.9,11.0,0.38,17.0
12,12.0,13.5,15.1,19.9,15.0,0.49,42.0
