m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,6.8,11.7,15.4,13.0,3.0,0.27,9.0
1,2,6.8,11.5,15.0,14.6,2.0,0.16,2.0
1,3,7.9,12.3,16.4,14.8,3.0,0.29,4.0
2,1,7.2,11.9,16.2,12.6,3.0,0.27,6.0
2,2,7.3,12.5,16.6,11.7,2.0,0.17,1.0
2,3,7.0,12.5,16.5,14.1,2.0,0.17,5.0
3,1,9.5,13.9,17.0,18.5,3.0,0.3,7.0
3,2,9.8,14.4,17.9,16.8,3.0,0.26,5.0
3,3,9.8,14.3,18.0,15.8,3.0,0.26,7.0
4,1,10.6,15.0,18.5,16.7,2.0,0.24,5.0
4,2,11.6,15.7,19.2,14.0,3.0,0.27,12.0
4,3,12.6,17.0,20.5,14.7,3.0,0.31,12.0
5,1,13.2,18.1,22.3,13.8,2.0,0.22,3.0
5,2,14.1,18.8,22.5,13.9,1.0,0.11,2.0
5,3,15.8,20.2,24.1,12.8,2.0,0.22,2.0
6,1,17.5,21.4,25.6,12.1,1.0,0.1,0.0
6,2,18.5,23.5,27.5,12.3,1.0,0.09,0.0
6,3,20.4,24.4,28.7,12.5,1.0,0.06,0.0
7,1,21.5,25.8,29.7,12.8,0.0,0.04,0.0
7,2,21.9,26.3,30.4,11.1,0.0,0.03,0.0
7,3,23.1,27.0,30.8,12.2,0.0,0.01,0.0
8,1,22.9,27.3,31.3,11.6,1.0,0.06,1.0
8,2,22.7,26.9,31.2,11.7,1.0,0.13,2.0
8,3,22.5,26.5,30.5,11.5,2.0,0.16,11.0
9,1,21.8,25.3,29.3,11.6,3.0,0.27,5.0
9,2,21.2,24.5,27.8,12.1,4.0,0.37,10.0
9,3,19.3,23.1,27.0,13.1,2.0,0.23,9.0
10,1,16.9,21.5,25.7,10.7,2.0,0.17,2.0
10,2,16.6,20.7,24.7,12.1,2.0,0.2,3.0
10,3,14.4,19.1,22.9,14.5,4.0,0.33,47.0
11,1,13.8,17.5,20.8,17.0,4.0,0.36,15.0
11,2,12.6,17.3,20.5,15.0,3.0,0.34,11.0
11,3,10.4,15.1,18.8,16.1,2.0,0.2,6.0
12,1,9.6,14.2,17.5,15.3,4.0,0.37,9.0
12,2,8.1,13.8,17.3,12.6,2.0,0.17,2.0
12,3,7.9,13.1,17.4,11.9,2.0,0.19,0.0
