m,coco,coco_pct
1,9.0,0.0
8,23.0,0.0
6,7.0,0.0
6,25.0,0.006
11,26.0,0.0
7,8.0,0.0
1,17.0,0.058
9,2.0,0.222
9,17.0,0.001
6,4.0,0.003
1,2.0,0.154
1,7.0,0.001
3,25.0,0.025
11,5.0,0.002
5,2.0,0.334
1,4.0,0.041
5,5.0,0.0
6,22.0,0.0
10,1.0,0.554
1,23.0,0.001
8,22.0,0.0
3,3.0,0.26
11,9.0,0.0
10,23.0,0.001
7,9.0,0.0
4,9.0,0.0
8,1.0,0.83
9,9.0,0.0
5,17.0,0.005
4,23.0,0.0
2,25.0,0.032
7,18.0,0.0
3,2.0,0.283
6,1.0,0.592
5,22.0,0.0
8,25.0,0.0
9,23.0,0.001
3,18.0,0.064
8,4.0,0.0
7,26.0,0.0
8,8.0,0.0
8,27.0,0.0
4,7.0,0.0
11,17.0,0.022
9,3.0,0.054
9,5.0,0.0
8,17.0,0.0
9,25.0,0.009
6,18.0,0.005
10,3.0,0.107
6,2.0,0.308
11,7.0,0.001
5,1.0,0.393
1,8.0,0.0
1,26.0,0.002
10,7.0,0.0
10,2.0,0.272
1,27.0,0.0
9,26.0,0.0
9,22.0,0.0
3,22.0,0.0
9,27.0,0.0
10,22.0,0.0
6,3.0,0.082
11,1.0,0.368
7,22.0,0.0
4,1.0,0.334
2,27.0,0.0
2,18.0,0.062
1,1.0,0.27
3,8.0,0.0
12,18.0,0.13
3,5.0,0.002
4,2.0,0.297
3,4.0,0.041
9,7.0,0.0
4,3.0,0.269
11,4.0,0.019
1,3.0,0.271
12,1.0,0.254
5,3.0,0.219
11,18.0,0.081
2,2.0,0.208
6,8.0,0.0
2,22.0,0.0
7,7.0,0.0
12,3.0,0.253
5,7.0,0.0
2,26.0,0.0
4,4.0,0.043
7,17.0,0.001
4,5.0,0.0
5,27.0,0.0
2,17.0,0.055
5,9.0,0.0
2,7.0,0.001
8,18.0,0.0
8,5.0,0.0
3,9.0,0.0
11,23.0,0.002
11,25.0,0.056
10,18.0,0.03
3,27.0,0.0
12,23.0,0.002
11,2.0,0.249
3,1.0,0.297
11,8.0,0.0
12,25.0,0.08
10,17.0,0.007
8,2.0,0.162
10,8.0,0.0
3,26.0,0.0
2,3.0,0.25
4,17.0,0.011
1,22.0,0.0
5,26.0,0.0
8,7.0,0.0
6,9.0,0.0
7,3.0,0.007
6,27.0,0.0
12,2.0,0.199
9,8.0,0.0
2,4.0,0.042
7,4.0,0.0
4,27.0,0.0
12,8.0,0.0
5,23.0,0.0
8,26.0,0.0
6,23.0,0.001
7,2.0,0.126
2,9.0,0.0
7,1.0,0.866
4,18.0,0.033
11,3.0,0.196
7,27.0,0.0
5,4.0,0.024
12,22.0,0.0
4,25.0,0.011
12,27.0,0.0
7,5.0,0.0
1,5.0,0.002
3,23.0,0.0
12,7.0,0.001
8,9.0,0.0
2,8.0,0.0
7,25.0,0.0
5,8.0,0.0
4,26.0,0.0
5,25.0,0.011
9,4.0,0.001
12,9.0,0.0
4,8.0,0.0
5,18.0,0.014
6,26.0,0.0
6,5.0,0.0
2,5.0,0.002
11,27.0,0.004
12,26.0,0.0
12,5.0,0.005
2,1.0,0.348
6,17.0,0.004
10,9.0,0.0
3,7.0,0.0
1,18.0,0.133
7,23.0,0.0
8,3.0,0.008
10,5.0,0.001
10,4.0,0.007
4,22.0,0.0
2,23.0,0.001
9,18.0,0.006
10,26.0,0.0
3,17.0,0.026
9,1.0,0.705
11,22.0,0.0
12,17.0,0.048
10,25.0,0.021
12,4.0,0.029
1,25.0,0.068
10,27.0,0.002
