m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,2.7,6.1,10.1,12.3,15.0,0.47,28.0
2,3.8,7.5,12.0,12.0,11.0,0.39,46.0
3,5.1,9.2,13.7,12.9,13.0,0.43,30.0
4,8.3,12.0,15.6,13.0,16.0,0.52,22.0
5,12.9,17.2,21.7,12.7,15.0,0.49,32.0
6,18.3,22.6,26.6,12.3,10.0,0.33,12.0
7,20.8,26.2,30.6,12.4,8.0,0.26,5.0
8,20.8,25.3,29.9,11.8,10.0,0.33,10.0
9,16.4,20.2,24.6,11.6,12.0,0.39,30.0
10,13.7,16.8,20.8,11.4,11.0,0.35,10.0
11,8.5,11.6,15.1,13.7,15.0,0.49,44.0
12,4.5,7.3,11.1,13.1,13.0,0.43,26.0
