m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,5.2,9.1,13.7,9.1,6.0,0.59,44.0
1,2,3.8,8.9,13.7,10.5,6.0,0.58,29.0
1,3,6.5,10.2,14.5,10.8,7.0,0.63,49.0
2,1,5.0,9.6,14.8,9.1,6.0,0.56,33.0
2,2,6.5,11.7,18.1,10.8,4.0,0.43,13.0
2,3,5.8,10.3,15.5,11.2,4.0,0.49,34.0
3,1,6.3,11.4,16.5,13.3,6.0,0.56,27.0
3,2,8.1,12.8,17.1,12.1,5.0,0.54,30.0
3,3,6.7,12.4,17.9,12.0,4.0,0.36,12.0
4,1,7.9,13.4,19.3,12.3,5.0,0.5,22.0
4,2,9.2,13.8,18.7,10.8,4.0,0.4,14.0
4,3,10.1,13.4,18.2,9.1,6.0,0.57,26.0
5,1,10.4,15.8,21.2,10.6,4.0,0.42,10.0
5,2,10.2,14.6,20.1,10.8,5.0,0.51,25.0
5,3,12.2,17.2,21.5,9.0,5.0,0.47,15.0
6,1,14.0,18.3,23.1,9.3,5.0,0.5,24.0
6,2,14.9,19.5,24.7,9.0,5.0,0.53,22.0
6,3,15.1,19.8,23.8,9.2,5.0,0.46,21.0
7,1,16.4,20.5,24.5,8.6,4.0,0.4,4.0
7,2,16.4,21.5,26.2,8.9,3.0,0.31,10.0
7,3,17.2,21.6,26.2,8.4,4.0,0.38,7.0
8,1,17.1,21.9,27.8,8.4,4.0,0.37,7.0
8,2,16.8,21.4,25.9,8.5,4.0,0.4,11.0
8,3,16.7,21.5,27.0,8.4,4.0,0.39,23.0
9,1,15.8,20.6,27.0,8.5,4.0,0.39,16.0
9,2,15.5,20.7,26.9,8.9,4.0,0.42,13.0
9,3,13.3,18.2,24.2,9.0,5.0,0.47,40.0
10,1,12.8,17.4,23.2,8.8,5.0,0.49,40.0
10,2,14.6,19.2,23.8,10.7,4.0,0.42,19.0
10,3,11.9,16.6,21.7,10.1,5.0,0.48,38.0
11,1,9.8,14.0,17.7,10.9,7.0,0.7,49.0
11,2,9.4,13.8,18.0,9.4,5.0,0.53,38.0
11,3,8.3,12.4,16.5,10.4,6.0,0.61,83.0
12,1,7.0,10.7,13.9,10.7,7.0,0.71,85.0
12,2,7.0,11.6,15.7,11.9,5.0,0.53,43.0
12,3,7.6,11.8,17.0,10.7,4.0,0.34,17.0
